python3 srcs/run_cli.py
> List of all isomorphic sets : 
   id  mult_bound      nb_molecules
-----  ------------  --------------
    1  False                      1
    2  False                      2
    3  False                      2
    4  False                      2
    5  False                      1
    6  False                     12
    7  False                      1
    8  False                      1
    9  False                      1
   10  False                      2
   11  False                      5
   12  False                     11
   13  False                      1
   14  False                      1
   15  False                      1
   16  False                      1
   17  False                      1
   18  False                      1
   19  False                      4
   20  False                      2
   21  False                      1
   22  False                      1
   23  False                      1
   24  False                      1
   25  False                      3
   26  False                      1
   27  False                      1
   28  False                      1
   29  False                      1
   30  False                      1
   31  False                      1
   32  False                      1
   33  False                      2
   34  False                      1
   35  False                      2
   36  False                      1
   37  False                      3
   38  False                      1
   39  False                      3
   40  False                      5
   41  False                      1
   42  False                      1
   43  False                      1
   44  False                      1
   45  False                      2
   46  False                      1
   47  False                      1
   48  False                      1
   49  False                      3
   50  False                      1
   51  False                      1
   52  False                      1
   53  False                      1
   54  False                      1
   55  False                      1
   56  False                      1
   57  False                      1
   58  False                      1
   59  False                      1
   60  False                      1
   61  False                      3
   62  False                      3
   63  False                      1
   64  False                      1
   65  False                      2
   66  False                      1
   67  False                      1
   68  False                      2
   69  False                      1
   70  False                      1
   71  False                      1
   72  False                      1
   73  False                      1
   74  False                      3
   75  False                      1
   76  False                      1
   77  False                      1
   78  False                      3
   79  False                      2
   80  False                      1
   81  False                      1
   82  False                      1
   83  False                      1
   84  False                      1
   85  False                      1
   86  False                      1
   87  False                      1
   88  False                      2
   89  False                      1
   90  False                      1
   91  False                      1
   92  False                      1
   93  False                      1
   94  False                      1
   95  False                      1
   96  False                      1
   97  False                      4
   98  False                      1
   99  False                      1
  100  False                      1
  101  False                      1
  102  False                      1
  103  False                      1
  104  False                      2
  105  False                      1
  106  False                      1
  107  False                      1
  108  False                      1
  109  False                      2
  110  False                      1
  111  False                      1
  112  False                      3
  113  False                      1
  114  False                      1
  115  False                      3
  116  False                      1
  117  False                      1
  118  False                      1
  119  False                      1
  120  False                      1
  121  False                      1
  122  False                      1
  123  False                      1
  124  False                      1
  125  False                      1
  126  False                      1
  127  False                      1
  128  False                      3
  129  False                      3
  130  False                      1
  131  False                      3
  132  False                      3
  133  False                      1
  134  False                      1
  135  False                      1
  136  False                      1
  137  False                      1
  138  False                     57
  139  False                      1
  140  False                      3
  141  False                      1
  142  False                      1
  143  False                      2
  144  False                      1
  145  False                      3
  146  False                      1
  147  False                      1
  148  False                     13
  149  False                      2
  150  False                      1
  151  False                      1
  152  False                      1
  153  False                      1
  154  False                      1
  155  False                      1
  156  False                      1
  157  False                      1
  158  False                      1
  159  False                      3
  160  False                      1
  161  False                      2
  162  False                      1
  163  False                      1
  164  False                      1
  165  False                      1
  166  False                      1
  167  False                      1
  168  False                      2
  169  False                      1
  170  False                      1
  171  False                      1
  172  False                      1
  173  False                      2
  174  False                      1
  175  False                      1
  176  False                      1
  177  False                      1
  178  False                      1
  179  False                      2
  180  False                      1
  181  False                      1
  182  False                      2
  183  False                      2
  184  False                      6
  185  False                      8
  186  False                      1
  187  False                      1
  188  False                      1
  189  False                      1
  190  False                      1
  191  False                      1
  192  False                      1
  193  False                      1
  194  False                      4
  195  False                      1
  196  False                      1
  197  False                      1
  198  False                      1
  199  False                      3
  200  False                      2
  201  False                      1
  202  False                      1
  203  False                      2
  204  False                      1
  205  False                      1
  206  False                      1
  207  False                      2
  208  False                      1
  209  False                      1
  210  False                      1
  211  False                      1
  212  False                      1
  213  False                      2
  214  False                      1
  215  False                      2
  216  False                      1
  217  False                      1
  218  False                      1
  219  False                      2
  220  False                      1
  221  False                      1
  222  False                     20
  223  False                      1
  224  False                      1
  225  False                      1
  226  False                      1
  227  False                      1
  228  False                      2
  229  False                      1
  230  False                      3
  231  False                      1
  232  False                      1
  233  False                      1
  234  False                      1
